child_id,tag,view,image_name,shoulder_width_ref,total_arm_area,left_arm_area,right_arm_area,left_arm_width,right_arm_width,left_arm_height,right_arm_height,left_arm_aspect_ratio,right_arm_aspect_ratio,total_arm_area_norm,left_arm_area_norm,right_arm_area_norm,left_arm_width_norm,right_arm_width_norm,left_arm_height_norm,right_arm_height_norm,num_arms_detected
1718,IMG_20240101_140216_1718,frontal1,IMG_20240101_140216_1718_frontal1.jpg,438.47447070427233,1034.0,304.0,730.0,11.0,18.0,40.0,59.0,3.6363636363636362,3.2777777777777777,0.005378137652608247,0.0015811932750414961,0.0037969443775667504,0.025086979368107644,0.041051420784176146,0.09122537952039143,0.13455743479257737,2
1719,IMG_20240101_145518_1719,frontal1,IMG_20240101_145518_1719_frontal1.jpg,661.5094536472154,4818.0,2742.0,2076.0,42.0,30.0,99.0,94.0,2.357142857142857,3.1333333333333333,0.011010186753874412,0.006266071415343221,0.004744115338531191,0.06349115612548555,0.04535082580391825,0.14965772515293022,0.1420992541856105,2
1720,IMG_20240102_085331_1720,frontal1,IMG_20240102_085331_1720_frontal1.jpg,591.886596738619,2902.0,1378.0,1524.0,27.0,28.0,68.0,77.0,2.5185185185185186,2.75,0.008283624370130306,0.00393343707168834,0.004350187298441967,0.0456168464512863,0.04730635928281542,0.11488687254398032,0.13009248802774243,2
1721,IMG_20240102_085409_1721,frontal1,IMG_20240102_085409_1721_frontal1.jpg,392.9903551598844,1419.0,682.0,737.0,19.0,17.0,54.0,63.0,2.8421052631578947,3.7058823529411766,0.009187949754042532,0.004415913835276256,0.004772035918766277,0.04834724249726187,0.04325805907649746,0.137407952360639,0.16030927775407883,2
1722,IMG_20240102_090646_1722,frontal1,IMG_20240102_090646_1722_frontal1.jpg,349.1956294670198,193.0,,193.0,,12.0,,31.0,,2.5833333333333335,0.001582776924959276,,0.001582776924959276,,0.034364691271525076,,0.08877545245143978,1
1723,IMG_20240102_091510_1723,frontal1,IMG_20240102_091510_1723_frontal1.jpg,407.8656561881813,1625.0,760.0,865.0,22.0,29.0,52.0,51.0,2.3636363636363638,1.7586206896551724,0.009768302272229058,0.004568559831934821,0.005199742440294237,0.05393932944883604,0.07110184336437478,0.12749296051543063,0.1250411728132108,2
1724,IMG_20240102_091606_1724,frontal1,IMG_20240102_091606_1724_frontal1.jpg,445.2826012481566,1280.0,526.0,754.0,16.0,21.0,49.0,50.0,3.0625,2.380952380952381,0.006455628311378604,0.002652859759207145,0.003802768552171459,0.03593223708977387,0.0471610611803282,0.11004247608743246,0.11228824090554333,2
1725,IMG_20240102_092542_1725,frontal1,IMG_20240102_092542_1725_frontal1.jpg,405.0668899959056,1048.0,285.0,763.0,11.0,20.0,39.0,55.0,3.5454545454545454,2.75,0.006387159941284754,0.0017369662054066363,0.0046501937358781175,0.0271560087276232,0.049374561322951274,0.09628039457975499,0.135780043638116,2
1726,IMG_20240102_092640_1726,frontal1,IMG_20240102_092640_1726_frontal1.jpg,525.181981951876,2383.0,1076.0,1307.0,21.0,24.0,73.0,75.0,3.4761904761904763,3.125,0.008639814273353188,0.0039011498775191064,0.004738664395834082,0.03998613951292086,0.04569844515762384,0.1389994373544392,0.14280764111757452,2
1727,IMG_20240102_093640_1727,frontal1,IMG_20240102_093640_1727_frontal1.jpg,580.4056656255219,2838.0,1439.0,1399.0,26.0,26.0,74.0,81.0,2.8461538461538463,3.1153846153846154,0.008424596413103986,0.004271668160132712,0.004152928252971274,0.044796254654025404,0.044796254654025404,0.12749703247684155,0.13955756257600221,2
