phase,arm,model,class,precision,recall,f1,support
test,class_weights,svm_rbf,healthy,0.9646017699115044,0.8755020080321285,0.9178947368421052,249
test,class_weights,svm_rbf,stunted,0.2702702702702703,0.7142857142857143,0.39215686274509803,14
test,class_weights,svm_rbf,stunted and underweight,0.8181818181818182,0.6923076923076923,0.75,39
test,class_weights,svm_rbf,underweight,0.6984126984126984,0.7719298245614035,0.7333333333333333,57
validation,class_weights,xgboost,healthy,0.9414225941422594,0.9,0.9202453987730062,250
validation,class_weights,xgboost,stunted,0.22727272727272727,0.38461538461538464,0.2857142857142857,13
validation,class_weights,xgboost,stunted and underweight,0.5641025641025641,0.5641025641025641,0.5641025641025641,39
validation,class_weights,xgboost,underweight,0.5423728813559322,0.5614035087719298,0.5517241379310345,57
test,class_weights,xgboost,healthy,0.941908713692946,0.9116465863453815,0.926530612244898,249
test,class_weights,xgboost,stunted,0.2,0.2857142857142857,0.23529411764705882,14
test,class_weights,xgboost,stunted and underweight,0.6857142857142857,0.6153846153846154,0.6486486486486487,39
test,class_weights,xgboost,underweight,0.6666666666666666,0.7368421052631579,0.7,57
validation,train_only_smote,random_forest,healthy,0.9126984126984127,0.92,0.9163346613545816,250
validation,train_only_smote,random_forest,stunted,0.16666666666666666,0.23076923076923078,0.1935483870967742,13
validation,train_only_smote,random_forest,stunted and underweight,0.5675675675675675,0.5384615384615384,0.5526315789473685,39
validation,train_only_smote,random_forest,underweight,0.6153846153846154,0.5614035087719298,0.5871559633027523,57
test,train_only_smote,random_forest,healthy,0.924,0.927710843373494,0.9258517034068137,249
test,train_only_smote,random_forest,stunted,0.23076923076923078,0.21428571428571427,0.2222222222222222,14
test,train_only_smote,random_forest,stunted and underweight,0.6410256410256411,0.6410256410256411,0.6410256410256411,39
test,train_only_smote,random_forest,underweight,0.7017543859649122,0.7017543859649122,0.7017543859649122,57
validation,train_only_smote,svm_rbf,healthy,0.944206008583691,0.88,0.9109730848861284,250
validation,train_only_smote,svm_rbf,stunted,0.17647058823529413,0.46153846153846156,0.2553191489361702,13
validation,train_only_smote,svm_rbf,stunted and underweight,0.5428571428571428,0.48717948717948717,0.5135135135135135,39
validation,train_only_smote,svm_rbf,underweight,0.5964912280701754,0.5964912280701754,0.5964912280701754,57
test,train_only_smote,svm_rbf,healthy,0.9565217391304348,0.8835341365461847,0.918580375782881,249
test,train_only_smote,svm_rbf,stunted,0.1951219512195122,0.5714285714285714,0.2909090909090909,14
test,train_only_smote,svm_rbf,stunted and underweight,0.84375,0.6923076923076923,0.7605633802816901,39
test,train_only_smote,svm_rbf,underweight,0.7857142857142857,0.7719298245614035,0.7787610619469026,57
validation,train_only_smote,xgboost,healthy,0.924,0.924,0.924,250
validation,train_only_smote,xgboost,stunted,0.125,0.23076923076923078,0.16216216216216217,13
validation,train_only_smote,xgboost,stunted and underweight,0.5609756097560976,0.5897435897435898,0.575,39
validation,train_only_smote,xgboost,underweight,0.7045454545454546,0.543859649122807,0.6138613861386139,57
test,train_only_smote,xgboost,healthy,0.9471544715447154,0.9357429718875502,0.9414141414141414,249
test,train_only_smote,xgboost,stunted,0.25,0.35714285714285715,0.29411764705882354,14
test,train_only_smote,xgboost,stunted and underweight,0.6388888888888888,0.5897435897435898,0.6133333333333333,39
test,train_only_smote,xgboost,underweight,0.6842105263157895,0.6842105263157895,0.6842105263157895,57
validation,baseline,majority_baseline,healthy,0.6963788300835655,1.0,0.8210180623973727,250
validation,baseline,majority_baseline,stunted,0.0,0.0,0.0,13
validation,baseline,majority_baseline,stunted and underweight,0.0,0.0,0.0,39
validation,baseline,majority_baseline,underweight,0.0,0.0,0.0,57
test,baseline,majority_baseline,healthy,0.6935933147632312,1.0,0.819078947368421,249
test,baseline,majority_baseline,stunted,0.0,0.0,0.0,14
test,baseline,majority_baseline,stunted and underweight,0.0,0.0,0.0,39
test,baseline,majority_baseline,underweight,0.0,0.0,0.0,57
